workout,start,end,exercise,weight,bodyweight,extraWeight,assistingWeight,reps,time,warmup,max,fail,checked,setComment,workoutComment,form,sleep,calories,stress
Golden 5 light,1772103953006,1772107012788,Bänkpress,20,,,,10,,true,false,false,1772103953893,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Bänkpress,40,,,,8,,false,false,false,1772104359118,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Bänkpress,50,,,,4,,false,false,false,1772104358775,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Marklyft,50,,,,10,,true,false,false,1772104471570,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Marklyft,70,,,,8,,true,false,false,1772104772785,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Marklyft,90,,,,5,,false,false,false,1772105073589,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Press,20,,,,10,,true,false,false,1772105142133,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Press,25,,,,8,,false,false,false,1772105354568,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Press,30,,,,5,,false,false,false,1772105562586,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Knäböj,20,,,,10,,true,false,false,1772105676565,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Knäböj,50,,,,8,,false,false,false,1772105860331,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Knäböj,55,,,,5,,false,false,false,1772106157242,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Chins,,"73,5",0,,4,,false,false,false,1772106160738,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Chins,,"73,5",0,,3,,false,false,false,1772106248705,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Chins,,"73,5",0,,2,,false,false,false,1772107011282,,,6,5,5,5
Golden 5 light,1772103953006,1772107012788,Chins,,"73,5",0,,3,,false,false,false,1772105685258,Reps från löpning under veckan,,6,5,5,5
Golden 5 light,1771584146407,1771586486590,Bänkpress,20,,,,10,,true,false,false,1771584148868,,,7,4,5,7
Golden 5 light,1771584146407,1771586486590,Bänkpress,40,,,,8,,false,false,false,1771584285601,,,7,4,5,7
Golden 5 light,1771584146407,1771586486590,Bänkpress,"47,5",,,,5,,false,false,false,1771584508302,,,7,4,5,7
Golden 5 light,1771584146407,1771586486590,Marklyft,70,,,,8,,true,false,false,1771584650447,,,7,4,5,7
Golden 5 light,1771584146407,1771586486590,Marklyft,80,,,,5,,true,false,false,1771584797471,,,7,4,5,7
Golden 5 light,1771584146407,1771586486590,Marklyft,90,,,,3,,false,false,false,1771585139103,,,7,4,5,7
Golden 5 light,1771584146407,1771586486590,Press,20,,,,10,,true,false,false,1771585140790,,,7,4,5,7
Golden 5 light,1771584146407,1771586486590,Press,25,,,,8,,false,false,false,1771585334635,,,7,4,5,7
